ProfileName,StartTime,Duration,DeviceType,Country,Title,Season,Episode
Henri,2024-09-14T19:22:34.000Z,00:11:51,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,FR (France),Young Sheldon,Saison 6,Des décrochages et le miracle de Medford (Épisode 9)
Henri,2024-09-14T19:00:09.000Z,00:19:18,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,FR (France),Young Sheldon,Saison 6,Le jargon juridique et Basic Instinct (Épisode 8)
Henri,2024-09-14T18:42:15.000Z,00:17:14,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,FR (France),Young Sheldon,Saison 6,Une dure à cuire et une note dans le fichier (Épisode 7)
Henri,2024-09-14T10:49:16.000Z,00:18:51,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,"Une voiture moche, une infidélité et une équipe de haut niveau (Épisode 6)"
Henri,2024-09-14T10:26:31.000Z,00:18:25,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Le conseiller des résidents et la légalité (Épisode 5)
Henri,2024-09-14T10:09:17.000Z,00:17:12,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Blonde Ambition et le concept du zéro (Épisode 4)
Henri,2024-09-14T09:50:07.000Z,00:19:08,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Passion's Harvest et la Sheldocratie (Épisode 3)
Henri,2024-09-14T09:43:20.000Z,00:06:44,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Le Worf du futur et la margarita du Pacifique Sud (Épisode 2)
Henri,2024-09-14T09:43:06.000Z,00:00:02,Google Sabrina ATV Set Top Box,FR (France),KAOS,Saison 1,Épisode 1 (Épisode 1)
Henri,2024-09-05T08:09:07.000Z,00:12:49,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Le Worf du futur et la margarita du Pacifique Sud (Épisode 2)
Henri,2024-09-05T07:50:25.000Z,00:18:38,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Quatre cents cartouches non déclarées et un problème de nomenclature (Épisode 1)
Henri,2024-09-04T17:06:21.000Z,00:00:21,Google Sabrina ATV Set Top Box,FR (France),Young Sheldon,Saison 6,Quatre cents cartouches non déclarées et un problème de nomenclature (Épisode 1)
Henri,2024-08-12T17:58:07.000Z,00:23:31,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,La fin du début (Épisode 6)
Henri,2024-08-10T20:50:59.000Z,01:07:28,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,La fin du début (Épisode 6)
Henri,2024-08-10T19:50:45.000Z,00:54:51,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,"Six ans, cinq mois et deux jours (Épisode 5)"
Henri,2024-08-10T19:34:26.000Z,00:16:15,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,La purge (Épisode 4)
Henri,2024-08-10T08:23:48.000Z,00:15:54,Google Sabrina ATV Set Top Box,FR (France),Locke & Key,Saison 1,Bienvenue à Matheson (Épisode 1)
Henri,2024-08-10T08:02:34.000Z,00:00:06,Google Sabrina ATV Set Top Box,FR (France),Locke & Key,Saison 1,Bienvenue à Matheson (Épisode 1)
Henri,2024-08-09T20:32:46.000Z,00:28:17,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,La purge (Épisode 4)
Henri,2024-08-09T20:25:32.000Z,00:06:36,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,La purge (Épisode 4)
Henri,2024-08-09T19:32:11.000Z,00:52:05,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,Dans le ventre de la pieuvre (Épisode 3)
Henri,2024-08-08T19:00:53.000Z,00:43:11,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,Jean et Gene (Épisode 2)
Henri,2024-08-08T19:00:00.000Z,00:00:29,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,L'insoutenable tragédie des désirs satisfaits (Épisode 1)
Henri,2024-08-08T17:59:17.000Z,00:48:00,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,L'insoutenable tragédie des désirs satisfaits (Épisode 1)
Henri,2024-08-08T08:20:00.000Z,00:00:02,Google Sabrina ATV Set Top Box,FR (France),Umbrella Academy,Saison 4,L'insoutenable tragédie des désirs satisfaits (Épisode 1)
